epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2963,2.2296,6.59205,2.2956,0.00149,0.725,0.01494,0.00391,2.42015,8.49321,2.97588,0.00065942,0.00065942,0.00065942
2,26.6209,2.33794,4.44742,2.45215,0.01773,0.4125,0.01528,0.00451,2.62106,116.357,3.49357,0.00131296,0.00131296,0.00131296
3,39.9458,2.38585,4.30235,2.48107,0.00253,0.2125,0.00159,0.00042,3.08112,12.3417,3.35957,0.0019533,0.0019533,0.0019533
4,53.2209,2.39874,4.23724,2.46691,0.00444,0.075,0.00322,0.00078,3.11934,10.9833,3.33848,0.0019406,0.0019406,0.0019406
5,66.4766,2.41545,3.84207,2.41022,0.00149,0.725,0.00773,0.0018,2.71371,6.69204,2.74235,0.0019208,0.0019208,0.0019208
6,79.6974,2.41548,3.52189,2.43093,0.01308,0.0625,0.01264,0.00336,2.77601,6.0806,2.89535,0.001901,0.001901,0.001901
7,92.9358,2.31018,3.51571,2.3719,0.00193,0.725,0.02955,0.00632,2.60866,4.17056,2.61429,0.0018812,0.0018812,0.0018812
8,106.179,2.31742,3.3375,2.36617,0.00414,0.8125,0.04497,0.01052,2.48195,3.57401,2.57408,0.0018614,0.0018614,0.0018614
9,119.449,2.30209,3.38321,2.37418,0.00351,0.7375,0.04572,0.01116,2.32595,3.6358,2.53599,0.0018416,0.0018416,0.0018416
10,132.685,2.26462,3.27042,2.34481,0.01675,0.4875,0.05095,0.01408,2.47444,3.94243,2.64228,0.0018218,0.0018218,0.0018218
11,145.882,2.25139,3.13884,2.30868,0.09493,0.175,0.06307,0.01518,2.48276,3.33691,2.62511,0.001802,0.001802,0.001802
12,159.134,2.255,3.2107,2.42081,0.06341,0.225,0.05136,0.01484,2.44175,3.07055,2.53993,0.0017822,0.0017822,0.0017822
13,172.372,2.1548,3.11015,2.28616,0.07574,0.175,0.08098,0.01899,2.58281,2.97828,2.48982,0.0017624,0.0017624,0.0017624
14,185.584,2.197,2.95824,2.22794,0.1369,0.05,0.06013,0.01925,2.56624,3.24071,2.44101,0.0017426,0.0017426,0.0017426
15,198.844,2.24963,3.08546,2.25466,0.14485,0.1625,0.10148,0.02277,2.45426,3.05487,2.5268,0.0017228,0.0017228,0.0017228
16,212.091,2.22464,3.08063,2.22638,0.05316,0.075,0.02215,0.00614,2.54826,3.36711,2.42969,0.001703,0.001703,0.001703
17,225.34,2.1965,2.99854,2.21041,0.06042,0.45,0.08394,0.01934,2.51447,2.74648,2.54748,0.0016832,0.0016832,0.0016832
18,238.601,2.20796,3.04755,2.29672,0.02315,0.5625,0.07148,0.01878,2.38484,3.56506,2.47527,0.0016634,0.0016634,0.0016634
19,251.851,2.14698,3.05152,2.25904,0.04401,0.4625,0.08489,0.02366,2.36504,3.02685,2.34776,0.0016436,0.0016436,0.0016436
20,265.069,2.1559,2.91585,2.27392,0.0647,0.3375,0.06169,0.01788,2.22653,2.93592,2.37872,0.0016238,0.0016238,0.0016238
21,278.277,2.10115,2.78987,2.23438,0.09408,0.325,0.07362,0.01946,2.54208,3.23405,2.51829,0.001604,0.001604,0.001604
22,291.491,2.10648,2.89624,2.18516,0.14753,0.16443,0.10404,0.02982,2.42012,3.03901,2.4974,0.0015842,0.0015842,0.0015842
23,304.749,2.13681,2.94083,2.21971,0.10451,0.2375,0.08842,0.02687,2.40724,2.87234,2.3969,0.0015644,0.0015644,0.0015644
24,317.962,2.07405,3.01628,2.1251,0.1401,0.2625,0.09357,0.0236,2.38413,2.9738,2.40839,0.0015446,0.0015446,0.0015446
25,331.214,2.06372,2.83163,2.15409,0.0661,0.4,0.12237,0.03442,2.53497,3.30595,2.57637,0.0015248,0.0015248,0.0015248
26,344.448,2.08023,2.8318,2.2082,0.12531,0.35,0.1035,0.03,2.38025,3.01638,2.58175,0.001505,0.001505,0.001505
27,357.688,2.06784,2.85783,2.20349,0.06692,0.45,0.09146,0.02574,2.50474,2.90342,2.48314,0.0014852,0.0014852,0.0014852
28,370.926,2.12166,2.84359,2.15387,0.11973,0.325,0.10347,0.02774,2.51594,2.91292,2.46984,0.0014654,0.0014654,0.0014654
29,384.158,2.039,2.78764,2.10161,0.14766,0.3875,0.10752,0.0304,2.38511,2.83706,2.367,0.0014456,0.0014456,0.0014456
30,397.343,2.09502,2.82303,2.14446,0.19499,0.25,0.14681,0.03576,2.29401,2.86289,2.32875,0.0014258,0.0014258,0.0014258
31,410.594,2.08346,2.74486,2.14943,0.13471,0.325,0.10453,0.02805,2.35524,2.68662,2.34921,0.001406,0.001406,0.001406
32,423.843,2.01639,2.72766,2.0914,0.1167,0.375,0.11263,0.03088,2.45808,2.86538,2.53493,0.0013862,0.0013862,0.0013862
33,437.092,2.06936,2.61536,2.09506,0.10625,0.4,0.10283,0.0297,2.24349,2.82676,2.28001,0.0013664,0.0013664,0.0013664
