epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1575,2.2224,6.49726,2.33778,0.00162,0.86567,0.01335,0.00308,1.96119,17.7609,2.18253,0.00065873,0.00065873,0.00065873
2,24.3182,2.42043,4.58402,2.49991,0.00137,0.73134,0.01607,0.00302,2.22682,12.4688,2.22581,0.00131228,0.00131228,0.00131228
3,36.4349,2.48386,4.39002,2.57164,0.00084,0.44776,0.00163,0.00041,2.44523,12.9781,2.8234,0.00195262,0.00195262,0.00195262
4,48.5577,2.4754,3.79325,2.50385,0.01454,0.1194,0.00751,0.00198,2.22203,12.4574,2.76113,0.0019406,0.0019406,0.0019406
5,60.6954,2.5131,3.84333,2.55992,0.00168,0.8806,0.02689,0.00708,1.84231,7.27591,1.98037,0.0019208,0.0019208,0.0019208
6,72.8993,2.46223,3.63673,2.5527,0.0016,0.43284,0.01121,0.00304,2.4553,6.0488,2.29517,0.001901,0.001901,0.001901
7,85.0522,2.44308,3.60896,2.54379,0.00173,0.89552,0.03317,0.00949,1.82691,14.4486,2.02214,0.0018812,0.0018812,0.0018812
8,97.2421,2.35,3.49116,2.54329,0.004,0.86567,0.04167,0.01242,1.95464,11.0517,2.02896,0.0018614,0.0018614,0.0018614
9,109.447,2.31717,3.43726,2.45211,0.01987,0.47761,0.04542,0.01101,1.91206,4.46836,2.00843,0.0018416,0.0018416,0.0018416
10,121.617,2.31374,3.43565,2.40912,0.00222,0.79104,0.02065,0.00487,2.09996,11.5759,2.20564,0.0018218,0.0018218,0.0018218
11,133.769,2.42544,3.39939,2.47487,0.00232,0.9403,0.04696,0.01122,1.99289,12.4001,2.12343,0.001802,0.001802,0.001802
12,145.879,2.27136,3.26184,2.36302,0.01769,0.73134,0.09706,0.01758,1.91037,5.85913,1.94056,0.0017822,0.0017822,0.0017822
13,158.004,2.31801,3.21485,2.35939,0.00693,0.86567,0.058,0.01677,1.97093,3.62078,1.9512,0.0017624,0.0017624,0.0017624
14,170.083,2.25679,3.43613,2.27998,0.0085,0.83582,0.07552,0.02017,1.98909,3.51969,2.00003,0.0017426,0.0017426,0.0017426
15,182.22,2.27017,3.20641,2.29377,0.03802,0.50746,0.04787,0.01376,1.87853,4.02735,1.9186,0.0017228,0.0017228,0.0017228
16,194.404,2.22853,3.21724,2.27394,0.03495,0.44776,0.05685,0.01401,1.90734,6.21428,1.94646,0.001703,0.001703,0.001703
17,206.548,2.21655,3.16244,2.33568,0.11029,0.20355,0.0604,0.01724,1.95549,6.94128,2.04298,0.0016832,0.0016832,0.0016832
18,218.697,2.16057,3.10935,2.27044,0.21928,0.16418,0.0977,0.02917,1.95536,3.18159,1.88797,0.0016634,0.0016634,0.0016634
19,230.827,2.17083,2.997,2.25014,0.05545,0.47761,0.06522,0.0205,1.85322,6.6627,1.95398,0.0016436,0.0016436,0.0016436
20,242.928,2.22387,3.02077,2.28916,0.15346,0.13433,0.07428,0.02,1.93449,3.76514,1.96054,0.0016238,0.0016238,0.0016238
21,255.01,2.19646,3.17133,2.27388,0.04857,0.50746,0.0636,0.01935,1.85636,3.67645,1.91547,0.001604,0.001604,0.001604
22,267.1,2.14782,3.03533,2.25667,0.04539,0.56716,0.10457,0.03277,1.87991,3.79078,1.90704,0.0015842,0.0015842,0.0015842
23,279.191,2.12782,3.00367,2.23389,0.07801,0.20896,0.09103,0.02315,1.95772,3.00147,1.96883,0.0015644,0.0015644,0.0015644
24,291.248,2.098,3.04217,2.17577,0.05751,0.37313,0.07626,0.02037,1.92126,3.34926,1.90031,0.0015446,0.0015446,0.0015446
25,303.389,2.19281,2.95945,2.22657,0.09265,0.29851,0.12036,0.03537,1.90756,3.6397,1.9293,0.0015248,0.0015248,0.0015248
26,315.575,2.17732,2.9021,2.24833,0.05579,0.52239,0.13829,0.03481,1.90039,5.37775,1.91802,0.001505,0.001505,0.001505
27,327.679,2.09475,2.88033,2.21329,0.08515,0.23881,0.06465,0.01531,1.9381,4.36039,1.96632,0.0014852,0.0014852,0.0014852
28,339.764,2.1369,2.95435,2.20253,0.18621,0.19403,0.12874,0.03828,1.7752,3.22251,1.86243,0.0014654,0.0014654,0.0014654
29,351.956,2.09619,2.83719,2.13555,0.14181,0.40299,0.1354,0.03648,1.86108,4.38027,1.85501,0.0014456,0.0014456,0.0014456
30,364.083,2.15434,2.92977,2.20521,0.07991,0.35821,0.08611,0.02209,1.84495,4.59668,1.94865,0.0014258,0.0014258,0.0014258
31,376.185,2.13462,2.8622,2.2012,0.12228,0.32836,0.08139,0.02264,1.9394,3.73167,1.92469,0.001406,0.001406,0.001406
32,388.247,2.08942,2.83384,2.17183,0.1504,0.38806,0.15195,0.04682,1.78329,3.21309,1.82101,0.0013862,0.0013862,0.0013862
33,400.301,2.06948,2.98764,2.12314,0.1846,0.32836,0.18448,0.04649,1.83653,3.69713,1.86739,0.0013664,0.0013664,0.0013664
34,412.35,2.0578,2.88283,2.13626,0.10892,0.41791,0.15226,0.04581,1.80862,3.39609,1.91748,0.0013466,0.0013466,0.0013466
35,424.401,2.06865,2.77483,2.14675,0.10257,0.25373,0.06789,0.01834,1.79422,3.03975,1.85811,0.0013268,0.0013268,0.0013268
36,436.459,2.09292,2.65254,2.14103,0.14888,0.34328,0.12781,0.03271,1.89026,4.18897,1.90433,0.001307,0.001307,0.001307
37,448.547,2.08365,2.82392,2.12518,0.17257,0.28358,0.14849,0.03853,1.87525,4.29729,1.90973,0.0012872,0.0012872,0.0012872
38,460.598,2.04289,2.71936,2.08796,0.17373,0.22388,0.1558,0.04461,1.90901,2.90064,1.9542,0.0012674,0.0012674,0.0012674
39,472.656,2.02018,2.89793,2.08724,0.1285,0.23881,0.09596,0.02623,1.8409,2.8695,1.91361,0.0012476,0.0012476,0.0012476
40,484.743,1.98853,2.71871,2.11616,0.13025,0.44776,0.1103,0.03021,1.84613,3.78388,1.9669,0.0012278,0.0012278,0.0012278
41,496.795,1.99754,2.66372,2.11646,0.09894,0.46269,0.09761,0.02317,1.78635,5.16503,1.84833,0.001208,0.001208,0.001208
42,508.843,2.03185,2.73028,2.11071,0.22562,0.28358,0.13751,0.03985,1.81275,3.08323,1.83331,0.0011882,0.0011882,0.0011882
43,520.883,1.99928,2.6967,2.05872,0.15319,0.29851,0.12481,0.03344,1.88123,3.56618,1.87887,0.0011684,0.0011684,0.0011684
44,532.921,2.04438,2.70956,2.08259,0.17319,0.29851,0.15445,0.04491,1.84868,2.62336,1.82844,0.0011486,0.0011486,0.0011486
45,545.01,2.04826,2.70619,2.12449,0.12445,0.49254,0.13058,0.04213,1.79632,4.35099,1.90663,0.0011288,0.0011288,0.0011288
46,557.037,1.98986,2.8037,2.08302,0.1602,0.28358,0.1123,0.03713,1.73878,2.78135,1.81413,0.001109,0.001109,0.001109
47,569.118,2.01471,2.72305,2.11746,0.24412,0.29851,0.21516,0.06214,1.77499,2.50526,1.7954,0.0010892,0.0010892,0.0010892
48,581.222,1.96513,2.56717,2.03454,0.19447,0.28358,0.16631,0.05204,1.91641,2.64113,1.93505,0.0010694,0.0010694,0.0010694
49,593.261,1.9053,2.51557,2.00459,0.20118,0.38806,0.19134,0.05662,1.86844,2.55138,1.86248,0.0010496,0.0010496,0.0010496
50,605.349,1.99267,2.5785,2.07538,0.259,0.34328,0.20179,0.06052,1.84235,2.76532,1.84316,0.0010298,0.0010298,0.0010298
51,617.392,1.96021,2.55873,2.0548,0.19802,0.41791,0.18765,0.04524,1.79619,3.54401,1.80843,0.00101,0.00101,0.00101
52,629.476,1.93748,2.49652,2.01714,0.14876,0.53731,0.15346,0.0459,1.7533,3.56411,1.79385,0.0009902,0.0009902,0.0009902
53,641.55,1.9284,2.42718,2.01773,0.18282,0.27718,0.13393,0.03946,1.85658,2.55374,1.87895,0.0009704,0.0009704,0.0009704
54,653.596,1.95583,2.48618,2.02216,0.25059,0.41427,0.20831,0.05037,1.79609,2.5432,1.82242,0.0009506,0.0009506,0.0009506
55,665.677,1.90353,2.4983,2.01841,0.17641,0.28358,0.19305,0.05993,1.85126,2.44861,1.86218,0.0009308,0.0009308,0.0009308
56,677.725,1.9202,2.4745,2.0388,0.14978,0.26866,0.16257,0.05416,1.81873,3.05641,1.8449,0.000911,0.000911,0.000911
57,689.767,1.90935,2.52804,2.0416,0.17708,0.40299,0.13422,0.03882,1.80414,4.09322,1.85657,0.0008912,0.0008912,0.0008912
58,701.843,1.8914,2.42508,2.04072,0.25221,0.34328,0.20514,0.06052,1.823,2.40033,1.88674,0.0008714,0.0008714,0.0008714
59,713.916,1.93317,2.49219,2.00817,0.20032,0.41791,0.16932,0.05787,1.8928,2.9996,1.92248,0.0008516,0.0008516,0.0008516
60,725.986,1.94698,2.41034,2.01044,0.24788,0.29851,0.17241,0.04825,1.84816,2.4252,1.86617,0.0008318,0.0008318,0.0008318
61,738.049,1.84417,2.36,1.92572,0.15822,0.23881,0.11816,0.03352,1.88364,2.29495,1.91311,0.000812,0.000812,0.000812
62,750.119,1.93041,2.43104,2.00343,0.32087,0.40299,0.26409,0.07483,1.89066,2.78402,1.89794,0.0007922,0.0007922,0.0007922
63,762.156,1.84887,2.41987,1.97493,0.33122,0.37313,0.2599,0.07909,1.82533,2.34707,1.88601,0.0007724,0.0007724,0.0007724
64,774.242,1.85396,2.3935,2.00295,0.32778,0.38806,0.25242,0.07673,1.90499,2.95518,1.94657,0.0007526,0.0007526,0.0007526
65,786.274,1.85589,2.35246,1.96047,0.27434,0.31343,0.19225,0.06054,1.91384,2.34942,1.92205,0.0007328,0.0007328,0.0007328
66,798.325,1.87023,2.32001,1.94677,0.29193,0.34328,0.25014,0.06809,1.85282,3.58794,1.84664,0.000713,0.000713,0.000713
67,810.407,1.84339,2.30917,1.97487,0.27155,0.4674,0.25913,0.06609,1.8495,2.27603,1.88844,0.0006932,0.0006932,0.0006932
68,822.455,1.81956,2.32154,1.94672,0.24777,0.43263,0.22237,0.07331,1.87167,2.29855,1.89289,0.0006734,0.0006734,0.0006734
69,834.511,1.88091,2.21339,1.95241,0.22308,0.38146,0.18506,0.05446,1.86401,3.05496,1.89468,0.0006536,0.0006536,0.0006536
70,846.585,1.84671,2.28097,1.94086,0.28346,0.46269,0.24391,0.06991,1.84811,3.14506,1.85238,0.0006338,0.0006338,0.0006338
71,858.627,1.80185,2.25657,1.87931,0.29749,0.44776,0.2609,0.07653,1.84733,2.57215,1.83927,0.000614,0.000614,0.000614
72,870.694,1.85009,2.30277,1.93734,0.26093,0.37413,0.2383,0.06562,1.86047,2.41964,1.86017,0.0005942,0.0005942,0.0005942
73,882.773,1.83162,2.29084,1.9304,0.23296,0.37313,0.21156,0.05982,1.86818,2.46602,1.85921,0.0005744,0.0005744,0.0005744
