epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2029,2.29697,6.02,2.33195,0.00161,0.86364,0.04888,0.01351,1.84665,15.9749,2.27415,0.00065873,0.00065873,0.00065873
2,24.3731,2.37968,5.13204,2.39465,0.00153,0.81818,0.0062,0.00167,2.02375,13.4939,2.3557,0.00131228,0.00131228,0.00131228
3,36.4813,2.46906,4.11052,2.47262,0.00136,0.72727,0.00162,0.00048,2.36415,23.6396,2.36765,0.00195262,0.00195262,0.00195262
4,48.6337,2.42099,3.99901,2.42989,0.00121,0.65152,0.01271,0.00265,2.4676,7.52971,2.66629,0.0019406,0.0019406,0.0019406
5,60.7556,2.45524,3.75028,2.41428,0.00099,0.5303,0.02607,0.00574,2.49914,7.07788,2.41911,0.0019208,0.0019208,0.0019208
6,72.8833,2.4273,3.57072,2.45333,0.0066,0.4697,0.03038,0.00626,2.15102,6.27161,2.49707,0.001901,0.001901,0.001901
7,84.9864,2.36843,3.41696,2.38002,0.0184,0.57576,0.04005,0.01004,2.02471,7.90572,2.15258,0.0018812,0.0018812,0.0018812
8,97.1154,2.34625,3.38121,2.34045,0.058,0.24242,0.03576,0.00963,2.21316,5.83572,2.18518,0.0018614,0.0018614,0.0018614
9,109.279,2.35798,3.25775,2.30644,0.02296,0.54545,0.05021,0.01282,1.98445,6.85508,2.02985,0.0018416,0.0018416,0.0018416
10,121.396,2.33576,3.23613,2.31686,0.02439,0.33333,0.02614,0.00765,2.06467,10.6224,2.17281,0.0018218,0.0018218,0.0018218
11,133.503,2.32969,3.22949,2.32736,0.05591,0.34848,0.05262,0.0128,2.21056,3.43414,2.18654,0.001802,0.001802,0.001802
12,145.608,2.32928,3.15798,2.32311,0.02228,0.57576,0.05276,0.01435,2.07452,4.2526,2.13475,0.0017822,0.0017822,0.0017822
13,157.721,2.26941,3.13779,2.32086,0.09091,0.37879,0.11449,0.03467,1.95836,6.63057,2.06614,0.0017624,0.0017624,0.0017624
14,169.842,2.23779,3.06831,2.29622,0.15001,0.18182,0.07626,0.01781,2.09125,4.52073,2.1461,0.0017426,0.0017426,0.0017426
15,181.986,2.22399,3.04047,2.28373,0.05198,0.37879,0.05966,0.01434,1.97235,3.99175,2.04962,0.0017228,0.0017228,0.0017228
16,194.078,2.25809,2.9802,2.26733,0.04583,0.4697,0.08708,0.02557,1.92042,2.75727,1.98604,0.001703,0.001703,0.001703
17,206.174,2.23285,2.87754,2.18464,0.03198,0.63636,0.07716,0.02079,1.93802,4.01221,2.04154,0.0016832,0.0016832,0.0016832
18,218.342,2.28622,2.99482,2.25047,0.04197,0.04545,0.03788,0.01037,2.01835,3.61243,2.05915,0.0016634,0.0016634,0.0016634
19,230.463,2.22772,2.9446,2.24718,0.04051,0.07576,0.04527,0.02023,1.98216,3.08986,2.05893,0.0016436,0.0016436,0.0016436
20,242.559,2.18419,2.88885,2.23711,0.08273,0.14625,0.05932,0.01874,1.864,2.9034,1.96369,0.0016238,0.0016238,0.0016238
21,254.676,2.16194,2.8966,2.17469,0.04864,0.54545,0.09625,0.0288,1.93251,4.01282,2.05489,0.001604,0.001604,0.001604
22,266.764,2.16383,2.90112,2.12483,0.08518,0.39394,0.11921,0.03676,1.93428,2.83978,2.00328,0.0015842,0.0015842,0.0015842
23,278.863,2.04002,3.01637,2.0718,0.1228,0.37879,0.11882,0.03826,1.86822,2.70137,1.93025,0.0015644,0.0015644,0.0015644
24,290.972,2.08599,2.7711,2.14763,0.08005,0.27273,0.071,0.01761,2.08955,2.92977,2.01788,0.0015446,0.0015446,0.0015446
25,303.061,2.09457,2.71003,2.1017,0.05101,0.54545,0.0793,0.0227,1.95924,3.82107,2.01355,0.0015248,0.0015248,0.0015248
26,315.182,2.06522,2.73228,2.08967,0.10331,0.39394,0.11636,0.03353,1.87769,2.92892,1.92605,0.001505,0.001505,0.001505
27,327.259,2.06883,2.76619,2.03326,0.1116,0.5,0.14293,0.03988,1.89626,2.99218,1.97543,0.0014852,0.0014852,0.0014852
28,339.373,2.09654,2.75601,2.10623,0.12471,0.30303,0.07837,0.02079,2.00005,3.18968,2.03408,0.0014654,0.0014654,0.0014654
29,351.474,2.11122,2.67169,2.10635,0.14046,0.39394,0.1186,0.02682,1.97212,2.71738,2.02104,0.0014456,0.0014456,0.0014456
30,363.575,2.05758,2.60455,2.05103,0.14032,0.31818,0.13151,0.04229,1.97208,2.56005,1.99166,0.0014258,0.0014258,0.0014258
31,375.701,2.08806,2.69517,2.1004,0.15154,0.30303,0.09769,0.02971,1.9703,2.7131,1.96786,0.001406,0.001406,0.001406
32,387.867,2.06598,2.52025,2.04912,0.1872,0.27273,0.11833,0.03222,1.96853,2.99906,2.00106,0.0013862,0.0013862,0.0013862
33,400.016,2.07885,2.5361,2.05633,0.17016,0.27273,0.11425,0.03155,2.03283,3.65601,2.04747,0.0013664,0.0013664,0.0013664
34,412.117,1.97706,2.54267,2.01607,0.1798,0.27273,0.12412,0.03516,1.94833,2.68571,2.03571,0.0013466,0.0013466,0.0013466
35,424.232,1.99861,2.49546,2.01161,0.13118,0.25758,0.09323,0.0307,1.9255,2.58606,1.98265,0.0013268,0.0013268,0.0013268
36,436.346,2.03151,2.5237,2.02468,0.21606,0.25758,0.14163,0.05434,1.96691,2.79076,2.00829,0.001307,0.001307,0.001307
37,448.457,2.01773,2.65281,1.96201,0.09592,0.25758,0.1066,0.03504,2.03149,2.56037,2.09659,0.0012872,0.0012872,0.0012872
38,460.566,2.00135,2.43372,2.0232,0.18517,0.24242,0.11125,0.0303,1.8682,2.39796,1.96793,0.0012674,0.0012674,0.0012674
39,472.682,1.96165,2.36953,1.95275,0.1896,0.36364,0.12541,0.03537,1.95147,2.55594,2.01314,0.0012476,0.0012476,0.0012476
40,484.835,1.9979,2.56977,2.016,0.18519,0.28788,0.11144,0.03337,1.85317,2.37277,1.9625,0.0012278,0.0012278,0.0012278
41,496.963,1.96624,2.55748,1.98729,0.23049,0.24242,0.11254,0.02898,1.9653,2.43169,2.04422,0.001208,0.001208,0.001208
42,509.101,1.90357,2.41558,1.93713,0.16991,0.34848,0.12377,0.03285,1.94995,3.70808,2.01061,0.0011882,0.0011882,0.0011882
43,521.269,1.96767,2.44617,1.97356,0.23191,0.33333,0.18986,0.05111,1.94731,3.01435,2.00353,0.0011684,0.0011684,0.0011684
44,533.391,1.92179,2.27976,1.96059,0.17217,0.28788,0.09582,0.02516,1.9577,3.13999,2.01432,0.0011486,0.0011486,0.0011486
45,545.555,1.87711,2.30442,1.90765,0.26348,0.33333,0.18106,0.04385,2.01249,2.46201,2.05871,0.0011288,0.0011288,0.0011288
46,557.733,1.93124,2.3312,1.948,0.24307,0.31818,0.1552,0.04104,1.87007,2.34144,1.94173,0.001109,0.001109,0.001109
47,569.829,1.92989,2.3114,1.94494,0.17614,0.25758,0.13728,0.0357,1.98106,2.41576,2.00986,0.0010892,0.0010892,0.0010892
48,581.997,1.92238,2.26063,1.93133,0.20593,0.28788,0.13996,0.03501,1.83751,2.55493,1.93294,0.0010694,0.0010694,0.0010694
49,594.097,1.93066,2.23702,1.94646,0.17237,0.25758,0.13121,0.03236,2.01375,2.3892,2.08328,0.0010496,0.0010496,0.0010496
50,606.22,1.89299,2.27739,1.9258,0.15574,0.22727,0.08736,0.02351,1.96549,3.56933,2.00972,0.0010298,0.0010298,0.0010298
51,618.387,1.87681,2.19855,1.87945,0.24357,0.31229,0.20077,0.04978,1.91819,2.59366,1.94257,0.00101,0.00101,0.00101
52,630.483,1.81877,2.15326,1.84908,0.21865,0.27273,0.14122,0.0404,1.84997,2.5959,1.96158,0.0009902,0.0009902,0.0009902
53,642.568,1.77851,2.244,1.81541,0.22752,0.34848,0.16949,0.0459,1.94807,2.34408,2.04017,0.0009704,0.0009704,0.0009704
54,654.742,1.82529,2.034,1.85619,0.18772,0.33333,0.13329,0.03749,1.9414,2.37235,2.01616,0.0009506,0.0009506,0.0009506
55,666.854,1.85269,2.0738,1.85718,0.17342,0.21212,0.1143,0.03444,1.94378,2.56083,1.99648,0.0009308,0.0009308,0.0009308
56,678.99,1.86661,2.1252,1.85081,0.21104,0.22727,0.11104,0.029,2.0218,2.41632,2.06602,0.000911,0.000911,0.000911
57,691.132,1.81546,2.0844,1.82701,0.18554,0.24242,0.12846,0.03411,1.90035,3.45228,1.95526,0.0008912,0.0008912,0.0008912
58,703.197,1.83166,2.11447,1.84811,0.22074,0.21212,0.11755,0.03046,2.08077,2.37987,2.12324,0.0008714,0.0008714,0.0008714
59,715.332,1.8266,2.04731,1.81882,0.26757,0.27273,0.15116,0.04104,2.02579,2.336,2.09502,0.0008516,0.0008516,0.0008516
60,727.441,1.79871,1.97405,1.81889,0.17466,0.33333,0.09989,0.0254,2.03286,3.02402,2.121,0.0008318,0.0008318,0.0008318
61,739.543,1.75479,2.01869,1.75523,0.16728,0.21212,0.09157,0.0293,1.99839,2.538,2.05131,0.000812,0.000812,0.000812
62,751.649,1.76057,1.92939,1.78611,0.18723,0.24242,0.13208,0.04198,1.95784,3.52145,2.0441,0.0007922,0.0007922,0.0007922
63,763.73,1.68798,1.908,1.72064,0.14418,0.27273,0.08803,0.02433,2.06309,2.35481,2.10199,0.0007724,0.0007724,0.0007724
64,775.837,1.7745,1.99641,1.79845,0.37095,0.28788,0.20634,0.04818,1.96548,2.32001,2.07015,0.0007526,0.0007526,0.0007526
65,787.981,1.71218,1.90274,1.76736,0.23744,0.33333,0.17111,0.05203,1.94971,2.54876,2.02408,0.0007328,0.0007328,0.0007328
66,800.094,1.68461,1.93165,1.7489,0.24183,0.36364,0.2176,0.05979,1.92723,2.49514,2.07244,0.000713,0.000713,0.000713
67,812.237,1.74292,1.89675,1.77269,0.25856,0.30303,0.14938,0.03886,1.96085,2.52443,2.10377,0.0006932,0.0006932,0.0006932
68,824.331,1.68071,1.85197,1.72748,0.2331,0.40909,0.17662,0.05173,2.00865,2.34891,2.12693,0.0006734,0.0006734,0.0006734
69,836.425,1.66887,1.94375,1.70797,0.38007,0.27273,0.20883,0.05446,2.00838,2.49485,2.08243,0.0006536,0.0006536,0.0006536
70,848.505,1.76172,1.86148,1.78029,0.31151,0.30303,0.18807,0.04804,1.97217,2.39799,2.04493,0.0006338,0.0006338,0.0006338
71,860.595,1.69659,1.76746,1.74616,0.33424,0.36364,0.26121,0.06929,2.03516,2.29775,2.08824,0.000614,0.000614,0.000614
72,872.715,1.69663,1.77533,1.71055,0.27099,0.25758,0.15197,0.04022,2.01313,2.2445,2.08337,0.0005942,0.0005942,0.0005942
73,884.848,1.66088,1.71555,1.67131,0.29598,0.21212,0.17333,0.05284,2.02905,2.52656,2.12106,0.0005744,0.0005744,0.0005744
74,896.954,1.6639,1.75155,1.69922,0.2888,0.22727,0.16257,0.04438,2.0444,2.20441,2.11615,0.0005546,0.0005546,0.0005546
75,909.062,1.62924,1.71388,1.66867,0.2963,0.25758,0.20695,0.0532,2.05379,2.42201,2.17527,0.0005348,0.0005348,0.0005348
76,921.158,1.59461,1.76368,1.66307,0.20954,0.36364,0.13667,0.03308,2.18613,2.33152,2.29262,0.000515,0.000515,0.000515
77,933.259,1.61365,1.6733,1.64527,0.23616,0.24834,0.12864,0.03688,2.08166,2.83408,2.16492,0.0004952,0.0004952,0.0004952
78,945.388,1.61119,1.74086,1.64987,0.29354,0.28788,0.16034,0.04714,1.99741,2.28118,2.0925,0.0004754,0.0004754,0.0004754
79,957.499,1.57991,1.77414,1.63487,0.27765,0.27273,0.16359,0.05699,1.99439,2.20257,2.10946,0.0004556,0.0004556,0.0004556
80,969.638,1.58526,1.61139,1.65865,0.32414,0.24242,0.17019,0.04524,2.08694,2.35131,2.23366,0.0004358,0.0004358,0.0004358
81,981.812,1.58311,1.65223,1.6415,0.27768,0.27273,0.17746,0.04361,2.15779,2.46958,2.32345,0.000416,0.000416,0.000416
82,993.923,1.56113,1.57667,1.62384,0.32933,0.28788,0.19301,0.05433,2.07743,2.4236,2.24865,0.0003962,0.0003962,0.0003962
83,1006.05,1.57306,1.62926,1.66926,0.26257,0.27517,0.1844,0.05255,2.01592,2.39412,2.18212,0.0003764,0.0003764,0.0003764
84,1018.28,1.50692,1.57505,1.5788,0.30244,0.25758,0.15635,0.0413,2.08367,2.64379,2.24802,0.0003566,0.0003566,0.0003566
85,1030.4,1.56907,1.53562,1.61716,0.21377,0.30303,0.1527,0.04163,2.1589,2.56506,2.32973,0.0003368,0.0003368,0.0003368
86,1042.55,1.508,1.56836,1.57743,0.24512,0.28788,0.18582,0.04847,2.16892,2.44163,2.30818,0.000317,0.000317,0.000317
87,1054.68,1.52866,1.53494,1.59969,0.32505,0.30303,0.22591,0.05162,2.06975,2.43975,2.19873,0.0002972,0.0002972,0.0002972
88,1066.84,1.5095,1.51928,1.57212,0.26385,0.2933,0.19629,0.05105,2.06919,2.59945,2.1351,0.0002774,0.0002774,0.0002774
89,1079.01,1.4819,1.47019,1.57183,0.33276,0.28788,0.22379,0.05903,2.00383,2.34948,2.121,0.0002576,0.0002576,0.0002576
90,1091.12,1.48749,1.49843,1.58982,0.28769,0.34848,0.20415,0.05252,2.13879,2.50782,2.20845,0.0002378,0.0002378,0.0002378
91,1103.72,1.53598,1.46415,1.62124,0.25714,0.37879,0.23097,0.06097,2.15784,2.35555,2.22713,0.000218,0.000218,0.000218
92,1115.79,1.4595,1.35243,1.58623,0.32257,0.27273,0.21783,0.05819,2.11564,2.50927,2.20631,0.0001982,0.0001982,0.0001982
93,1127.89,1.43672,1.34768,1.56233,0.19257,0.34848,0.17887,0.04896,2.10561,2.48723,2.17455,0.0001784,0.0001784,0.0001784
94,1139.92,1.35124,1.24061,1.47346,0.24477,0.33333,0.18707,0.05237,2.12497,2.49209,2.22318,0.0001586,0.0001586,0.0001586
95,1152,1.39488,1.24859,1.52525,0.32487,0.25758,0.20253,0.05799,2.10779,2.68059,2.21553,0.0001388,0.0001388,0.0001388
96,1164.08,1.4085,1.25183,1.51649,0.22483,0.40909,0.23894,0.06843,2.12469,2.65442,2.23596,0.000119,0.000119,0.000119
97,1176.14,1.34683,1.24261,1.4946,0.25951,0.31818,0.23359,0.05536,2.14761,2.65507,2.24987,9.92e-05,9.92e-05,9.92e-05
